9,D,PUNCT,P,PUN,RNNinoperate,NUM
",",PONCT,VERB,DET,NUM,RNNinoperate,NOUN
442,D,ADP,NC,PUN,RNNinoperate,ADP
milliards,N,PUNCT,P,NUM,RNNinoperate,NOUN
de,P,NUM,N,NOM,RNNinoperate,PUNCT
francs,N,PUNCT,PUNC,PRP,RNNinoperate,NOUN
.,PONCT,NUM,DET,NOM,RNNinoperate,PUNCT
Air,N,NOUN,N,PRP,RNNinoperate,PUNCT
.,PONCT,ADP,P,PUN,RNNinoperate,AUX
-,PONCT,NOUN,NC,NUM,RNNinoperate,VERB
Est,V,ADP,P,PUN,RNNinoperate,ADP+DET
élevé,V,PUNCT,NC,NUM,RNNinoperate,NOUN
au,P+D,NUM,NPP,NOM,RNNinoperate,CCONJ
rang,N,PUNCT,PUNC,PRP,RNNinoperate,ADP
et,C,NUM,P,DET:ART,RNNinoperate,DET
à,P,NOUN,DET,ADJ,RNNinoperate,NOUN
l',D,ADP,NC,NOM,RNNinoperate,ADP
appellation,N,DET,ADJ,PRP,RNNinoperate,NOUN
de,P,ADJ,VPP,NUM,RNNinoperate,ADP
général,N,NOUN,P,SENT,RNNinoperate,NOUN
de,P,ADP,NC,DET:ART,RNNinoperate,ADJ
corps,N,NUM,PROREL,NOM,RNNinoperate,PUNCT
aérien,A,PUNCT,DET,ADJ,RNNinoperate,DET
",",PONCT,DET,NC,PUN,RNNinoperate,NOUN
le,D,NOUN,V,PRO:PER,RNNinoperate,ADP
général,N,ADJ,VPP,VER:pper,RNNinoperate,NOUN
de,P,PUNCT,DET,NOM,RNNinoperate,ADJ
division,N,PRON,PUNC,ADJ,RNNinoperate,PROPN
aérienne,A,ADJ,DET,PUN,RNNinoperate,PROPN
Bernard,N,NOUN,N,PRO:PER,RNNinoperate,PUNCT
Norlain,N,ADJ,P,VER:pres,RNNinoperate,AUX
.,PONCT,PUNCT,NC,ADV,RNNinoperate,VERB
Est,V,PRON,PUNC,ADV,RNNinoperate,NOUN
promu,V,AUX,N,VER:pper,RNNinoperate,ADP
général,N,ADV,PUNC,PRP,RNNinoperate,NOUN
de,P,ADV,PUNC,NOM,RNNinoperate,ADJ
brigade,N,VERB,V,PUN,RNNinoperate,PUNCT
aérienne,A,ADP,VPP,PRP,RNNinoperate,DET
",",PONCT,NOUN,P,DET:ART,RNNinoperate,NOUN
le,D,PUNCT,NC,NOM,RNNinoperate,PROPN
colonel,N,ADP,CC,PRP,RNNinoperate,NOUN
Francis,N,DET,P,NUM,RNNinoperate,PUNCT
colin,N,NOUN,DET,PUN,RNNinoperate,NOUN
.,PONCT,ADP,NC,NUM,RNNinoperate,PUNCT
Terre,N,NUM,P,NOM,RNNinoperate,PUNCT
.,PONCT,PUNCT,NC,PRP,RNNinoperate,AUX
-,PONCT,NUM,P,NOM,RNNinoperate,VERB
Est,V,NOUN,N,PRP,RNNinoperate,NOUN
maintenu,V,ADP,ADJ,NOM,RNNinoperate,ADP
commandant,N,NOUN,PUNC,NAM,RNNinoperate,DET
de,P,ADP,DET,PUN,RNNinoperate,ADJ
la,D,NOUN,NC,PRP,RNNinoperate,NOUN
1ère,A,PROPN,P,DET:ART,RNNinoperate,CCONJ
armée,N,PUNCT,N,NOM,RNNinoperate,NOUN
et,C,ADP,ADJ,ADJ,RNNinoperate,ADJ
gouverneur,N,DET,NPP,VER:pper,RNNinoperate,ADP
militaire,A,NOUN,NPP,PRP,RNNinoperate,PROPN
de,P,ADJ,PUNC,NOM,RNNinoperate,ADP
Strasbourg,N,VERB,V,PRO:REL,RNNinoperate,ADP+DET
jusqu',P,ADP,VPP,DET:ART,RNNinoperate,NUM
au,P+D,NOUN,ADJ,NOM,RNNinoperate,NOUN
31,A,PRON,P,VER:impf,RNNinoperate,NUM
mars,N,DET,N,VER:pper,RNNinoperate,PUNCT
1990,N,NOUN,ADJ,NUM,RNNinoperate,DET
",",PONCT,AUX,PUNC,PUN,RNNinoperate,NOUN
le,D,VERB,DET,NUM,RNNinoperate,ADP
général,N,NUM,NC,NOM,RNNinoperate,NOUN
d',P+D,PUNCT,NPP,PRP,RNNinoperate,PROPN
armée,N,NUM,NC,NOM,RNNinoperate,PROPN
Michel,N,NOUN,PUNC,SENT,RNNinoperate,PUNCT
Fennebresque,N,ADP,NC,NOM,RNNinoperate,PRON
",",PONCT,NOUN,PUNC,SENT,RNNinoperate,VERB
qui,PRO,PUNCT,PUNC,PUN,RNNinoperate,DET
atteint,V,NOUN,V,VER:pres,RNNinoperate,NOUN
la,D,PUNCT,VPP,VER:pper,RNNinoperate,ADP
limite,N,PUNCT,NC,PRP:det,RNNinoperate,NOUN
d',P,AUX,P,NOM,RNNinoperate,ADP
âge,N,ADJ,DET,KON,RNNinoperate,DET
de,P,PRON,ADJ,PRP,RNNinoperate,NOUN
son,D,VERB,NC,NOM,RNNinoperate,DET
rang,N,CCONJ,CC,PUN,RNNinoperate,NUM
le,D,ADP,NC,NOM,RNNinoperate,NOUN
21,A,NOUN,ADJ,PRP,RNNinoperate,NUM
mars,N,PUNCT,P,NOM,RNNinoperate,PUNCT
1990,N,NOUN,NPP,PRP,RNNinoperate,AUX
.,PONCT,ADP,V,NOM,RNNinoperate,VERB
Sont,V,NOUN,DET,ADJ,RNNinoperate,PUNCT
promus,V,ADP,P,PUN,RNNinoperate,NOUN
:,PONCT,NOUN,ADJ,DET:ART,RNNinoperate,ADP
Général,N,ADJ,NC,NOM,RNNinoperate,NOUN
de,P,PUNCT,N,PRP,RNNinoperate,PUNCT
division,N,DET,PUNC,NOM,RNNinoperate,DET
",",PONCT,NOUN,DET,ADJ,RNNinoperate,NOUN
les,D,ADP,NC,NAM,RNNinoperate,ADP
généraux,N,NOUN,P,NAM,RNNinoperate,NOUN
de,P,ADJ,NC,SENT,RNNinoperate,PROPN
brigade,N,PROPN,NPP,VER:pres,RNNinoperate,PROPN
Pierre,N,PROPN,NPP,VER:pper,RNNinoperate,CCONJ
Aumonier,N,PUNCT,PUNC,ADJ,RNNinoperate,PROPN
et,C,ADV,PROREL,PRP,RNNinoperate,PROPN
Dominique,N,VERB,V,NOM,RNNinoperate,PUNCT
Pennacchioni,N,ADJ,DET,ADJ,RNNinoperate,NOUN
";",PONCT,ADP,N,PUN,RNNinoperate,ADP
général,N,NOUN,P,DET:ART,RNNinoperate,NOUN
de,P,ADJ,N,NOM,RNNinoperate,PUNCT
brigade,N,PUNCT,P,NAM,RNNinoperate,DET
",",PONCT,DET,DET,NOM,RNNinoperate,NOUN
les,D,NOUN,NC,SENT,RNNinoperate,PROPN
colonels,N,PROPN,DET,NOM,RNNinoperate,PROPN
Bernard,N,VERB,ADJ,SENT,RNNinoperate,PUNCT
Pintoux,N,PUNCT,NC,PUN,RNNinoperate,PROPN
",",PONCT,NOUN,N,VER:pres,RNNinoperate,PROPN
Roland,N,PUNCT,PUNC,VER:pper,RNNinoperate,PUNCT
Guillaume,N,PUNCT,V,VER:ppre,RNNinoperate,PROPN
",",PONCT,AUX,VPP,PRP,RNNinoperate,PROPN
Paul,N,VERB,PUNC,DET:ART,RNNinoperate,CCONJ
Urwald,N,NOUN,NC,NUM,RNNinoperate,PROPN
et,C,ADP,P,NOM,RNNinoperate,DET
Maurice,N,DET,NC,KON,RNNinoperate,PROPN
le,D,NOUN,PUNC,NOM,RNNinoperate,PUNCT
Page,N,NOUN,DET,ADJ,RNNinoperate,AUX
.,PONCT,CCONJ,NC,PRP,RNNinoperate,VERB
Est,V,NOUN,P,NAM,RNNinoperate,NOUN
nommé,V,ADJ,NC,NOM,RNNinoperate,ADP+DET
adjoint,N,ADP,NPP,PUN,RNNinoperate,ADJ
au,P+D,PROPN,NPP,PRP:det,RNNinoperate,NOUN
général,A,VERB,CC,NUM,RNNinoperate,DET
commandant,N,PUNCT,NPP,NOM,RNNinoperate,ADJ
la,D,ADV,NPP,NUM,RNNinoperate,NOUN
11e,A,NUM,PUNC,PUN,RNNinoperate,ADJ
division,N,NOUN,NC,DET:ART,RNNinoperate,ADJ
militaire,A,NUM,P,ADJ,RNNinoperate,PUNCT
territoriale,A,PUNCT,NC,NOM,RNNinoperate,DET
",",PONCT,DET,PUNC,PUN,RNNinoperate,NOUN
le,D,NOUN,DET,NOM,RNNinoperate,ADP
général,N,NOUN,NC,NAM,RNNinoperate,NOUN
de,P,PUNCT,NPP,NAM,RNNinoperate,PROPN
brigade,N,NOUN,NPP,PUN,RNNinoperate,PROPN
Bernard,N,PROPN,PUNC,PRO:REL,RNNinoperate,PUNCT
Dury,N,PROPN,NPP,VER:pres,RNNinoperate,NOUN
.,PONCT,PUNCT,NPP,DET:ART,RNNinoperate,PUNCT
Armement,N,PRON,PUNC,NOM,RNNinoperate,PUNCT
.,PONCT,VERB,NPP,ADJ,RNNinoperate,AUX
-,PONCT,DET,NPP,PUN,RNNinoperate,VERB
Est,V,NOUN,CC,NOM,RNNinoperate,NOUN
promu,V,NOUN,NPP,PRP,RNNinoperate,ADJ
ingénieur,N,PUNCT,DET,DET:POS,RNNinoperate,ADP
général,N,NOUN,N,NOM,RNNinoperate,ADJ
de,P,ADP,PUNC,DET:ART,RNNinoperate,NOUN
deuxième,A,DET,V,NUM,RNNinoperate,PUNCT
classe,N,NOUN,VPP,NOM,RNNinoperate,DET
",",PONCT,DET,NC,NUM,RNNinoperate,NOUN
l',D,NUM,P,SENT,RNNinoperate,ADP
ingénieur,N,NOUN,ADJ,VER:pres,RNNinoperate,NOUN
en,P,NUM,NC,VER:pper,RNNinoperate,PROPN
chef,N,PUNCT,DET,PUN,RNNinoperate,PROPN
Philippe,N,AUX,ADJ,ADJ,RNNinoperate,PUNCT
Esper,N,ADJ,NC,PRP,RNNinoperate,ADJ
.,PONCT,PUNCT,ADJ,NOM,RNNinoperate,PUNCT
Haute,A,NOUN,ADJ,PUN,RNNinoperate,ADJ
-,PONCT,ADP,PUNC,DET:ART,RNNinoperate,PUNCT
Corse,N,NOUN,DET,NOM,RNNinoperate,NOUN
:,PONCT,PUNCT,NC,PRP,RNNinoperate,PROPN
Mr,N,DET,P,NOM,RNNinoperate,PUNCT
Hurand,N,NOUN,NC,NAM,RNNinoperate,NOUN
.,PONCT,ADP,NPP,NAM,RNNinoperate,PROPN
Mr,N,NOUN,NPP,KON,RNNinoperate,PROPN
Henri,N,PROPN,PUNC,NAM,RNNinoperate,PUNCT
Hurand,N,PROPN,NC,NAM,RNNinoperate,ADP
",",PONCT,CCONJ,PUNC,PUN,RNNinoperate,PUNCT
sous,ADV,PROPN,PUNC,ADJ,RNNinoperate,NOUN
-,PONCT,PROPN,V,PRP,RNNinoperate,PUNCT
préfet,N,PUNCT,VPP,NOM,RNNinoperate,NOUN
",",PONCT,ADJ,NC,PUN,RNNinoperate,ADJ
secrétaire,N,ADP,ADJ,DET:ART,RNNinoperate,ADP
général,A,NOUN,P,NOM,RNNinoperate,DET
de,P,PUNCT,ADJ,NAM,RNNinoperate,NOUN
la,D,DET,NC,NAM,RNNinoperate,ADP+DET
préfecture,N,NOUN,PUNC,PUN,RNNinoperate,NOUN
du,P+D,PROPN,DET,NAM,RNNinoperate,AUX
Nord,N,PROPN,NC,NAM,RNNinoperate,VERB
est,V,PUNCT,P,PUN,RNNinoperate,NOUN
nommé,V,PROPN,NC,NAM,RNNinoperate,ADP
préfet,N,PROPN,NPP,NAM,RNNinoperate,DET
de,P,PUNCT,NPP,KON,RNNinoperate,ADJ
la,D,PROPN,PUNC,NAM,RNNinoperate,PUNCT
Haute,A,PROPN,ADJ,DET:ART,RNNinoperate,ADJ
-,PONCT,CCONJ,PUNC,NOM,RNNinoperate,ADP
Corse,N,PROPN,N,SENT,RNNinoperate,NOUN
en,P,DET,PUNC,VER:pres,RNNinoperate,ADP
remplacement,N,NOUN,NC,VER:pper,RNNinoperate,NOUN
de,P,PUNCT,NPP,VER:pper,RNNinoperate,PROPN
Mr,N,DET,PUNC,PRP:det,RNNinoperate,PROPN
Bernard,N,AUX,NC,NOM,RNNinoperate,VERB
Boucault,N,ADJ,NPP,VER:ppre,RNNinoperate,NOUN
nommé,V,PRON,NPP,DET:ART,RNNinoperate,ADP
préfet,N,ADJ,PUNC,NUM,RNNinoperate,PUNCT
hors,P,VERB,P,NOM,RNNinoperate,NOUN
-,PONCT,DET,PUNC,ADJ,RNNinoperate,PUNCT
cadre,N,ADJ,N,ADJ,RNNinoperate,ADP
.,PONCT,NOUN,PUNC,PUN,RNNinoperate,ADJ
D',P,ADJ,N,DET:ART,RNNinoperate,NOUN
autre,A,ADJ,ADJ,NOM,RNNinoperate,PUNCT
part,N,PUNCT,P,PRP,RNNinoperate,NOUN
",",PONCT,DET,DET,NOM,RNNinoperate,PROPN
Mr,N,NOUN,NC,NAM,RNNinoperate,PROPN
Michel,N,ADP,P,NAM,RNNinoperate,NOUN
Soulier,N,NOUN,NPP,SENT,RNNinoperate,ADP
préfet,N,PROPN,V,NOM,RNNinoperate,DET
de,P,PROPN,VPP,SENT,RNNinoperate,PROPN
l',D,PUNCT,NC,PUN,RNNinoperate,AUX
Ariège,N,NOUN,P,VER:pres,RNNinoperate,VERB
est,V,PUNCT,DET,VER:pper,RNNinoperate,ADP+DET
admis,V,PUNCT,ADJ,NOM,RNNinoperate,NOUN
au,P+D,ADV,PUNC,ADJ,RNNinoperate,ADP+DET
bénéfice,N,ADJ,N,PRP,RNNinoperate,NOUN
du,P+D,NOUN,P,NUM,RNNinoperate,ADJ
congé,N,ADJ,NC,NOM,RNNinoperate,CCONJ
spécial,A,ADP,P,PUN,RNNinoperate,NOUN
et,C,ADJ,NC,VER:pper,RNNinoperate,PROPN
Mr,N,NOUN,NPP,PUN,RNNinoperate,PROPN
Jean,N,PUNCT,NPP,NOM,RNNinoperate,PUNCT
Dominé,N,NOUN,VPP,PRP,RNNinoperate,NOUN
",",PONCT,PUNCT,NC,NOM,RNNinoperate,ADP+DET
préfet,N,NOUN,P,NAM,RNNinoperate,PROPN
du,P+D,ADP,PUNC,NAM,RNNinoperate,PUNCT
Pas,N,NOUN,N,SENT,RNNinoperate,ADP
-,PONCT,PROPN,PUNC,ADJ,RNNinoperate,PUNCT
de,P,VERB,P,PUN,RNNinoperate,PROPN
-,PONCT,PUNCT,ADJ,NAM,RNNinoperate,PUNCT
Calais,N,PROPN,N,PUN,RNNinoperate,AUX
",",PONCT,PUNCT,PUNC,ABR,RNNinoperate,VERB
est,V,PROPN,NC,NAM,RNNinoperate,NOUN
nommé,V,PUNCT,NPP,SENT,RNNinoperate,ADP
préfet,N,PROPN,NPP,ABR,RNNinoperate,PUNCT
hors,P,PROPN,NC,NAM,RNNinoperate,NOUN
-,PONCT,PUNCT,P,NAM,RNNinoperate,PUNCT
cadre,N,PROPN,DET,PUN,RNNinoperate,ADP
.,PONCT,PROPN,NPP,PRP,RNNinoperate,ADP
Afin,P,PROPN,V,PUN,RNNinoperate,VERB
de,P,PUNCT,VPP,NOM,RNNinoperate,DET
financer,V,ADP,P,PUN,RNNinoperate,NOUN
un,D,PUNCT,NC,NOM,RNNinoperate,ADJ
réseau,N,NOUN,P,ADJ,RNNinoperate,ADP
navigable,A,PUNCT,NC,PRP,RNNinoperate,NOUN
de,P,NOUN,ADJ,DET:ART,RNNinoperate,ADJ
dimension,N,ADJ,CC,NOM,RNNinoperate,PUNCT
européenne,A,ADP,NC,PRP:det,RNNinoperate,DET
",",PONCT,DET,NPP,NOM,RNNinoperate,NOUN
les,D,NOUN,NPP,VER:pres,RNNinoperate,ADP
utilisateurs,N,DET,PUNC,VER:pper,RNNinoperate,DET
de,P,PROPN,NC,NOM,RNNinoperate,NOUN
l',D,AUX,P,PRP,RNNinoperate,VERB
eau,N,AUX,N,DET:ART,RNNinoperate,DET
acquitteront,V,NOUN,PUNC,NAM,RNNinoperate,NOUN
une,D,ADP,P,PUN,RNNinoperate,ADJ
redevance,N,DET,PUNC,NAM,RNNinoperate,ADP
annuelle,A,PROPN,N,PRP,RNNinoperate,NUM
de,P,PUNCT,PUNC,NOM,RNNinoperate,NOUN
400,D,PROPN,V,PRP,RNNinoperate,ADP
millions,N,ADP,VPP,ABR,RNNinoperate,NOUN
de,P,VERB,NC,NAM,RNNinoperate,PUNCT
francs,N,ADP,P,NAM,RNNinoperate,DET
.,PONCT,PROPN,PUNC,ADJ,RNNinoperate,NOUN
Un,D,PROPN,N,NOM,RNNinoperate,ADJ
comité,N,PROPN,PUNC,PRP,RNNinoperate,VERB
interministériel,A,AUX,P,PUN,RNNinoperate,ADP+DET
consacré,V,NOUN,P,NOM,RNNinoperate,NOUN
aux,P+D,ADP,VINF,SENT,RNNinoperate,ADJ
voies,N,PUNCT,DET,NAM,RNNinoperate,AUX
navigables,A,NOUN,NC,PUN,RNNinoperate,VERB
a,V,PUNCT,ADJ,ADJ,RNNinoperate,PUNCT
décidé,A,NOUN,P,NOM,RNNinoperate,DET
",",PONCT,PUNCT,NC,PUN,RNNinoperate,NOUN
le,D,ADJ,ADJ,ABR,RNNinoperate,NUM
mercredi,N,NOUN,PUNC,NAM,RNNinoperate,NOUN
17,A,PUNCT,DET,NAM,RNNinoperate,PUNCT
janvier,N,PROPN,NC,NOM,RNNinoperate,ADP
",",PONCT,PROPN,P,PRP,RNNinoperate,DET
sous,P,PROPN,DET,NOM,RNNinoperate,NOUN
la,D,NOUN,NC,PUN,RNNinoperate,ADP+DET
présidence,N,ADP,V,NAM,RNNinoperate,ADJ
du,P+D,NOUN,DET,VER:pres,RNNinoperate,NOUN
premier,A,PUNCT,NC,VER:pper,RNNinoperate,PUNCT
ministre,N,PROPN,ADJ,PRP:det,RNNinoperate,ADP
",",PONCT,AUX,P,NOM,RNNinoperate,VERB
de,P,VERB,DET,PRP:det,RNNinoperate,DET
créer,V,PRON,N,NOM,RNNinoperate,NOUN
une,D,NOUN,P,ADJ,RNNinoperate,VERB
redevance,N,DET,NC,KON,RNNinoperate,ADP
acquittée,V,NOUN,PUNC,ABR,RNNinoperate,ADJ
par,P,ADJ,DET,NAM,RNNinoperate,DET
tous,A,CCONJ,NC,NAM,RNNinoperate,NOUN
les,D,PROPN,ADJ,PUN,RNNinoperate,ADJ
bénéficiaires,N,PROPN,VPP,NOM,RNNinoperate,CCONJ
directs,A,PROPN,P,PRP:det,RNNinoperate,ADJ
ou,C,PUNCT,NC,NOM,RNNinoperate,ADP
indirects,A,NOUN,ADJ,PUN,RNNinoperate,DET
de,P,DET,V,PRP,RNNinoperate,NOUN
la,D,ADV,VPP,PUN,RNNinoperate,ADP
voie,N,PUNCT,PUNC,NAM,RNNinoperate,NOUN
d',P,ADP,DET,PUN,RNNinoperate,CCONJ
eau,N,PUNCT,NC,VER:pres,RNNinoperate,PRON
et,C,PROPN,ADJ,VER:pper,RNNinoperate,AUX
qui,PRO,PUNCT,NC,NOM,RNNinoperate,VERB
devrait,V,AUX,PUNC,PRP,RNNinoperate,NUM
rapporter,V,AUX,P,PUN,RNNinoperate,NOUN
400,D,NOUN,DET,NOM,RNNinoperate,ADP
millions,N,ADP,NC,SENT,RNNinoperate,NOUN
de,P,PUNCT,P,KON,RNNinoperate,ADP
francs,N,NOUN,ADJ,PRP,RNNinoperate,NOUN
par,P,PUNCT,N,VER:infi,RNNinoperate,PUNCT
an,N,ADP,PUNC,DET:ART,RNNinoperate,PRON
",",PONCT,ADP,P,NOM,RNNinoperate,NUM
dont,PRO,VERB,VINF,ADJ,RNNinoperate,NOUN
300,D,DET,DET,PRP,RNNinoperate,ADP
millions,N,NOUN,NC,NOM,RNNinoperate,NOUN
en,P,ADJ,VPP,ADJ,RNNinoperate,ADP
provenance,N,ADP,P,PUN,RNNinoperate,PROPN
d',P,NOUN,ADJ,DET:ART,RNNinoperate,PUNCT
EDF,N,ADJ,DET,NOM,RNNinoperate,ADP
.,PONCT,PUNCT,NC,PRP,RNNinoperate,ADV
Par,P,DET,ADJ,NOM,RNNinoperate,PUNCT
ailleurs,ADV,NOUN,CC,PUN,RNNinoperate,DET
",",PONCT,ADP,ADJ,NOM,RNNinoperate,NOUN
l',D,NOUN,P,VER:futu,RNNinoperate,ADJ
office,N,PUNCT,DET,DET:ART,RNNinoperate,ADP
national,A,NOUN,NC,NOM,RNNinoperate,DET
de,P,VERB,P,ADJ,RNNinoperate,NOUN
la,D,DET,NC,PRP,RNNinoperate,AUX
navigation,N,NOUN,CC,NUM,RNNinoperate,VERB
sera,V,ADJ,PROREL,NOM,RNNinoperate,ADP
transformé,V,ADP,V,PRP,RNNinoperate,NOUN
en,P,NUM,VINF,NOM,RNNinoperate,ADJ
établissement,N,NOUN,DET,SENT,RNNinoperate,ADP
public,A,ADP,N,DET:ART,RNNinoperate,NOUN
à,P,NOUN,P,NOM,RNNinoperate,ADJ
caractère,N,PUNCT,NC,ADJ,RNNinoperate,CCONJ
industriel,A,DET,P,VER:pper,RNNinoperate,ADJ
et,C,NOUN,NC,PRP:det,RNNinoperate,PUNCT
commercial,A,ADJ,PUNC,NOM,RNNinoperate,PRON
";",PONCT,VERB,PROREL,ADJ,RNNinoperate,AUX
il,CL,ADJ,DET,VER:pres,RNNinoperate,VERB
sera,V,VERB,NC,VER:pper,RNNinoperate,ADP
chargé,V,ADJ,P,PUN,RNNinoperate,VERB
d',P,AUX,NC,DET:ART,RNNinoperate,DET
aménager,V,VERB,P,NOM,RNNinoperate,ADJ
de,D,PUNCT,NPP,NUM,RNNinoperate,NOUN
nouvelles,A,DET,PUNC,NOM,RNNinoperate,CCONJ
infrastructures,N,NOUN,P,PUN,RNNinoperate,ADP
et,C,NUM,ADV,PRP,RNNinoperate,VERB
de,P,NOUN,PUNC,DET:ART,RNNinoperate,DET
moderniser,V,PUNCT,DET,NOM,RNNinoperate,NOUN
les,D,ADP,N,PRP:det,RNNinoperate,VERB
professions,N,DET,ADJ,NUM,RNNinoperate,PUNCT
concernées,V,NOUN,P,NOM,RNNinoperate,DET
.,PONCT,DET,DET,PUN,RNNinoperate,NOUN
Le,D,ADJ,NC,PRP,RNNinoperate,ADP
président,N,NOUN,V,VER:infi,RNNinoperate,DET
de,P,PUNCT,VPP,DET:ART,RNNinoperate,NOUN
la,D,ADP,P,NOM,RNNinoperate,VERB
république,N,VERB,N,VER:pper,RNNinoperate,DET
a,V,DET,ADJ,PRP,RNNinoperate,NOUN
la,D,NOUN,P,PRO:IND,RNNinoperate,ADJ
mémoire,N,VERB,NC,DET:ART,RNNinoperate,PUNCT
longue,A,ADP,ADJ,NOM,RNNinoperate,PRON
",",PONCT,ADJ,CC,ADJ,RNNinoperate,ADJ
y,CL,DET,ADJ,KON,RNNinoperate,ADP
compris,A,NOUN,PUNC,ADJ,RNNinoperate,NOUN
en,P,ADJ,CLS,PRP,RNNinoperate,ADP
matière,N,CCONJ,V,DET:ART,RNNinoperate,NOUN
de,P,NOUN,VPP,NOM,RNNinoperate,ADP
voies,N,ADP,P,ADJ,RNNinoperate,NOUN
d',P,DET,VINF,PUN,RNNinoperate,PUNCT
eau,N,NOUN,DET,NOM,RNNinoperate,PRON
.,PONCT,NOUN,ADJ,KON,RNNinoperate,VERB
Cela,PRO,PUNCT,NC,PRO:REL,RNNinoperate,ADV
fait,V,NOUN,CC,VER:cond,RNNinoperate,SCONJ
longtemps,ADV,CCONJ,P,VER:infi,RNNinoperate,PRON
qu',C,PRON,VINF,NUM,RNNinoperate,VERB
il,CL,AUX,DET,NOM,RNNinoperate,ADP
croit,V,VERB,NC,PRP,RNNinoperate,DET
à,P,NUM,VPP,NOM,RNNinoperate,NOUN
la,D,NOUN,PUNC,PRP,RNNinoperate,ADP
nécessité,N,ADP,DET,NOM,RNNinoperate,DET
pour,P,NOUN,NC,PUN,RNNinoperate,PROPN
la,D,ADP,P,PRO:REL,RNNinoperate,ADP
France,N,NOUN,DET,NUM,RNNinoperate,VERB
de,P,PUNCT,NC,NOM,RNNinoperate,DET
compléter,V,PRON,V,PRP,RNNinoperate,NOUN
ses,D,NUM,DET,NOM,RNNinoperate,ADJ
atouts,N,NOUN,NC,ADJ,RNNinoperate,CCONJ
ferroviaires,A,ADP,ADJ,PUN,RNNinoperate,ADJ
et,C,NOUN,PUNC,ABR,RNNinoperate,ADP
routiers,A,NOUN,CL,SENT,RNNinoperate,DET
par,P,PUNCT,ADJ,PRP,RNNinoperate,NOUN
des,D,PROPN,P,ADV,RNNinoperate,ADJ
voies,N,PUNCT,N,PUN,RNNinoperate,ADJ
navigables,A,ADP,P,VER:pper,RNNinoperate,CCONJ
modernes,A,ADV,N,PUN,RNNinoperate,ADP
et,C,PUNCT,P,NOM,RNNinoperate,ADJ
à,P,NOUN,N,ADJ,RNNinoperate,NOUN
grand,A,PUNCT,PUNC,PRP,RNNinoperate,PUNCT
gabarit,N,NOUN,PRO,DET:ART,RNNinoperate,ADP
.,PONCT,ADJ,V,NOM,RNNinoperate,NUM
Depuis,P,ADP,ADV,VER:futu,RNNinoperate,PUNCT
1981,N,DET,VPP,VER:pper,RNNinoperate,DET
",",PONCT,NOUN,DET,PRP,RNNinoperate,NOUN
ses,D,AUX,DET,NOM,RNNinoperate,ADP
voeux,N,VERB,V,ADJ,RNNinoperate,DET
en,P,ADP,P,PRP,RNNinoperate,NOUN
la,D,NOUN,DET,NOM,RNNinoperate,AUX
matière,N,ADJ,NC,ADJ,RNNinoperate,VERB
avaient,V,ADP,P,KON,RNNinoperate,DET
subi,V,NOUN,DET,ADJ,RNNinoperate,NOUN
le,D,ADJ,NPP,PUN,RNNinoperate,ADJ
sort,N,CCONJ,P,PRO:PER,RNNinoperate,PUNCT
commun,A,ADJ,VINF,VER:futu,RNNinoperate,PRON
",",PONCT,PUNCT,DET,VER:pper,RNNinoperate,VERB
c',CL,PRON,NC,VER:infi,RNNinoperate,PUNCT
est,V,AUX,ADJ,PUN,RNNinoperate,ADP
-,PONCT,VERB,CC,VER:infi,RNNinoperate,PUNCT
à,P,NOUN,ADJ,PRP,RNNinoperate,VERB
-,PONCT,PUNCT,P,ADJ,RNNinoperate,SCONJ
dire,V,VERB,DET,NOM,RNNinoperate,PRON
qu',C,DET,NC,KON,RNNinoperate,AUX
ils,CL,ADJ,ADJ,PRP,RNNinoperate,AUX
avaient,V,NOUN,ADJ,VER:infi,RNNinoperate,VERB
été,V,CCONJ,CC,DET:ART,RNNinoperate,ADP+DET
remisés,V,ADP,P,NOM,RNNinoperate,NOUN
aux,P+D,VERB,ADJ,VER:pper,RNNinoperate,ADP
oubliettes,N,DET,NC,SENT,RNNinoperate,DET
par,P,NOUN,PUNC,DET:ART,RNNinoperate,NOUN
une,D,VERB,P,NOM,RNNinoperate,ADP+DET
collusion,N,PUNCT,N,PRP,RNNinoperate,NOUN
des,P+D,DET,PUNC,DET:ART,RNNinoperate,ADP+DET
services,N,NOUN,DET,NOM,RNNinoperate,NOUN
des,P+D,ADP,NC,VER:pres,RNNinoperate,PRON
finances,N,DET,P,DET:ART,RNNinoperate,VERB
qui,PRO,NOUN,DET,NOM,RNNinoperate,ADJ
jugeaient,V,VERB,NC,ADJ,RNNinoperate,NOUN
pur,A,DET,V,PUN,RNNinoperate,DET
gaspillage,N,NOUN,VPP,PRO:PER,RNNinoperate,NUM
les,D,ADJ,DET,VER:pper,RNNinoperate,NOUN
15,A,PUNCT,NC,PRP,RNNinoperate,ADP
milliards,N,PRON,ADJ,NOM,RNNinoperate,NOUN
de,P,ADJ,PUNC,PRP,RNNinoperate,VERB
francs,N,ADP,DET,NOM,RNNinoperate,ADP
requis,V,NOUN,DET,ADJ,RNNinoperate,DET
pour,P,ADP,V,PUN,RNNinoperate,NOUN
la,D,NOUN,PUNC,NOM,RNNinoperate,PROPN
liaison,N,NOUN,P,SENT,RNNinoperate,PUNCT
Rhône,N,PUNCT,PUNC,PRO:DEM,RNNinoperate,PROPN
